,participant,condition,item,response
0,1,short,trial_n1,3
1,1,long,trial_n2,7
2,1,short,trial_n3,4
3,1,long,trial_n4,5
4,1,short,trial_n5,3
5,1,long,trial_n6,2
6,1,short,trial_n7,5
7,1,long,trial_n8,4
8,1,short,trial_n9,5
9,1,long,trial_n10,3
10,1,short,trial_n11,5
11,1,long,trial_n12,6
12,1,short,trial_n13,2
13,1,long,trial_n14,6
14,1,short,trial_n15,2
15,1,long,trial_n16,3
16,1,short,trial_n17,2
17,1,long,trial_n18,2
18,1,short,trial_n19,3
19,1,long,trial_n20,2
0,2,short,trial_n1,4
1,2,long,trial_n2,3
2,2,short,trial_n3,0
3,2,long,trial_n4,7
4,2,short,trial_n5,5
5,2,long,trial_n6,3
6,2,short,trial_n7,2
7,2,long,trial_n8,4
8,2,short,trial_n9,2
9,2,long,trial_n10,5
10,2,short,trial_n11,2
11,2,long,trial_n12,5
12,2,short,trial_n13,2
13,2,long,trial_n14,3
14,2,short,trial_n15,5
15,2,long,trial_n16,3
16,2,short,trial_n17,5
17,2,long,trial_n18,4
18,2,short,trial_n19,5
19,2,long,trial_n20,5
0,3,short,trial_n1,5
1,3,long,trial_n2,2
2,3,short,trial_n3,5
3,3,long,trial_n4,4
4,3,short,trial_n5,4
5,3,long,trial_n6,2
6,3,short,trial_n7,3
7,3,long,trial_n8,2
8,3,short,trial_n9,4
9,3,long,trial_n10,4
10,3,short,trial_n11,4
11,3,long,trial_n12,3
12,3,short,trial_n13,4
13,3,long,trial_n14,1
14,3,short,trial_n15,1
15,3,long,trial_n16,5
16,3,short,trial_n17,5
17,3,long,trial_n18,5
18,3,short,trial_n19,2
19,3,long,trial_n20,1
0,4,short,trial_n1,5
1,4,long,trial_n2,5
2,4,short,trial_n3,3
3,4,long,trial_n4,4
4,4,short,trial_n5,4
5,4,long,trial_n6,4
6,4,short,trial_n7,3
7,4,long,trial_n8,2
8,4,short,trial_n9,2
9,4,long,trial_n10,6
10,4,short,trial_n11,4
11,4,long,trial_n12,3
12,4,short,trial_n13,5
13,4,long,trial_n14,4
14,4,short,trial_n15,4
15,4,long,trial_n16,2
16,4,short,trial_n17,4
17,4,long,trial_n18,3
18,4,short,trial_n19,4
19,4,long,trial_n20,3
0,5,short,trial_n1,1
1,5,long,trial_n2,4
2,5,short,trial_n3,4
3,5,long,trial_n4,4
4,5,short,trial_n5,5
5,5,long,trial_n6,2
6,5,short,trial_n7,2
7,5,long,trial_n8,3
8,5,short,trial_n9,2
9,5,long,trial_n10,4
10,5,short,trial_n11,2
11,5,long,trial_n12,3
12,5,short,trial_n13,6
13,5,long,trial_n14,7
14,5,short,trial_n15,5
15,5,long,trial_n16,2
16,5,short,trial_n17,1
17,5,long,trial_n18,2
18,5,short,trial_n19,5
19,5,long,trial_n20,3
0,6,short,trial_n1,4
1,6,long,trial_n2,5
2,6,short,trial_n3,5
3,6,long,trial_n4,3
4,6,short,trial_n5,3
5,6,long,trial_n6,2
6,6,short,trial_n7,3
7,6,long,trial_n8,4
8,6,short,trial_n9,5
9,6,long,trial_n10,6
10,6,short,trial_n11,6
11,6,long,trial_n12,4
12,6,short,trial_n13,5
13,6,long,trial_n14,4
14,6,short,trial_n15,2
15,6,long,trial_n16,1
16,6,short,trial_n17,4
17,6,long,trial_n18,4
18,6,short,trial_n19,2
19,6,long,trial_n20,2
0,7,short,trial_n1,3
1,7,long,trial_n2,7
2,7,short,trial_n3,3
3,7,long,trial_n4,4
4,7,short,trial_n5,2
5,7,long,trial_n6,4
6,7,short,trial_n7,4
7,7,long,trial_n8,5
8,7,short,trial_n9,3
9,7,long,trial_n10,8
10,7,short,trial_n11,5
11,7,long,trial_n12,4
12,7,short,trial_n13,3
13,7,long,trial_n14,3
14,7,short,trial_n15,3
15,7,long,trial_n16,4
16,7,short,trial_n17,6
17,7,long,trial_n18,5
18,7,short,trial_n19,2
19,7,long,trial_n20,3
0,8,short,trial_n1,6
1,8,long,trial_n2,6
2,8,short,trial_n3,6
3,8,long,trial_n4,4
4,8,short,trial_n5,6
5,8,long,trial_n6,4
6,8,short,trial_n7,5
7,8,long,trial_n8,4
8,8,short,trial_n9,4
9,8,long,trial_n10,3
10,8,short,trial_n11,6
11,8,long,trial_n12,4
12,8,short,trial_n13,1
13,8,long,trial_n14,4
14,8,short,trial_n15,3
15,8,long,trial_n16,2
16,8,short,trial_n17,4
17,8,long,trial_n18,4
18,8,short,trial_n19,5
19,8,long,trial_n20,4
0,9,short,trial_n1,4
1,9,long,trial_n2,3
2,9,short,trial_n3,1
3,9,long,trial_n4,5
4,9,short,trial_n5,3
5,9,long,trial_n6,4
6,9,short,trial_n7,4
7,9,long,trial_n8,3
8,9,short,trial_n9,3
9,9,long,trial_n10,3
10,9,short,trial_n11,5
11,9,long,trial_n12,2
12,9,short,trial_n13,2
13,9,long,trial_n14,2
14,9,short,trial_n15,5
15,9,long,trial_n16,3
16,9,short,trial_n17,4
17,9,long,trial_n18,4
18,9,short,trial_n19,5
19,9,long,trial_n20,4
0,10,short,trial_n1,2
1,10,long,trial_n2,4
2,10,short,trial_n3,5
3,10,long,trial_n4,3
4,10,short,trial_n5,7
5,10,long,trial_n6,3
6,10,short,trial_n7,4
7,10,long,trial_n8,4
8,10,short,trial_n9,1
9,10,long,trial_n10,3
10,10,short,trial_n11,4
11,10,long,trial_n12,5
12,10,short,trial_n13,8
13,10,long,trial_n14,3
14,10,short,trial_n15,3
15,10,long,trial_n16,4
16,10,short,trial_n17,5
17,10,long,trial_n18,3
18,10,short,trial_n19,4
19,10,long,trial_n20,1
0,11,short,trial_n1,5
1,11,long,trial_n2,6
2,11,short,trial_n3,2
3,11,long,trial_n4,4
4,11,short,trial_n5,5
5,11,long,trial_n6,6
6,11,short,trial_n7,5
7,11,long,trial_n8,2
8,11,short,trial_n9,5
9,11,long,trial_n10,5
10,11,short,trial_n11,4
11,11,long,trial_n12,4
12,11,short,trial_n13,1
13,11,long,trial_n14,4
14,11,short,trial_n15,3
15,11,long,trial_n16,1
16,11,short,trial_n17,3
17,11,long,trial_n18,4
18,11,short,trial_n19,6
19,11,long,trial_n20,3
0,12,short,trial_n1,3
1,12,long,trial_n2,2
2,12,short,trial_n3,2
3,12,long,trial_n4,4
4,12,short,trial_n5,2
5,12,long,trial_n6,3
6,12,short,trial_n7,5
7,12,long,trial_n8,6
8,12,short,trial_n9,3
9,12,long,trial_n10,6
10,12,short,trial_n11,2
11,12,long,trial_n12,4
12,12,short,trial_n13,3
13,12,long,trial_n14,4
14,12,short,trial_n15,3
15,12,long,trial_n16,5
16,12,short,trial_n17,4
17,12,long,trial_n18,4
18,12,short,trial_n19,6
19,12,long,trial_n20,4
0,14,short,trial_n1,3
1,14,long,trial_n2,2
2,14,short,trial_n3,4
3,14,long,trial_n4,2
4,14,short,trial_n5,7
5,14,long,trial_n6,5
6,14,short,trial_n7,3
7,14,long,trial_n8,3
8,14,short,trial_n9,1
9,14,long,trial_n10,8
10,14,short,trial_n11,4
11,14,long,trial_n12,5
12,14,short,trial_n13,3
13,14,long,trial_n14,4
14,14,short,trial_n15,4
15,14,long,trial_n16,5
16,14,short,trial_n17,2
17,14,long,trial_n18,4
18,14,short,trial_n19,5
19,14,long,trial_n20,3
0,15,short,trial_n1,5
1,15,long,trial_n2,3
2,15,short,trial_n3,4
3,15,long,trial_n4,5
4,15,short,trial_n5,4
5,15,long,trial_n6,5
6,15,short,trial_n7,6
7,15,long,trial_n8,7
8,15,short,trial_n9,9
9,15,long,trial_n10,4
10,15,short,trial_n11,2
11,15,long,trial_n12,5
12,15,short,trial_n13,5
13,15,long,trial_n14,4
14,15,short,trial_n15,4
15,15,long,trial_n16,4
16,15,short,trial_n17,5
17,15,long,trial_n18,7
18,15,short,trial_n19,4
19,15,long,trial_n20,4
0,16,short,trial_n1,5
1,16,long,trial_n2,4
2,16,short,trial_n3,6
3,16,long,trial_n4,3
4,16,short,trial_n5,5
5,16,long,trial_n6,4
6,16,short,trial_n7,4
7,16,long,trial_n8,2
8,16,short,trial_n9,4
9,16,long,trial_n10,4
10,16,short,trial_n11,1
11,16,long,trial_n12,5
12,16,short,trial_n13,3
13,16,long,trial_n14,3
14,16,short,trial_n15,5
15,16,long,trial_n16,5
16,16,short,trial_n17,4
17,16,long,trial_n18,5
18,16,short,trial_n19,4
19,16,long,trial_n20,5
0,17,short,trial_n1,3
1,17,long,trial_n2,4
2,17,short,trial_n3,5
3,17,long,trial_n4,4
4,17,short,trial_n5,4
5,17,long,trial_n6,4
6,17,short,trial_n7,3
7,17,long,trial_n8,3
8,17,short,trial_n9,4
9,17,long,trial_n10,6
10,17,short,trial_n11,3
11,17,long,trial_n12,2
12,17,short,trial_n13,3
13,17,long,trial_n14,3
14,17,short,trial_n15,6
15,17,long,trial_n16,4
16,17,short,trial_n17,2
17,17,long,trial_n18,5
18,17,short,trial_n19,7
19,17,long,trial_n20,5
0,18,short,trial_n1,7
1,18,long,trial_n2,2
2,18,short,trial_n3,4
3,18,long,trial_n4,3
4,18,short,trial_n5,5
5,18,long,trial_n6,2
6,18,short,trial_n7,5
7,18,long,trial_n8,3
8,18,short,trial_n9,4
9,18,long,trial_n10,4
10,18,short,trial_n11,3
11,18,long,trial_n12,3
12,18,short,trial_n13,6
13,18,long,trial_n14,4
14,18,short,trial_n15,8
15,18,long,trial_n16,5
16,18,short,trial_n17,6
17,18,long,trial_n18,2
18,18,short,trial_n19,2
19,18,long,trial_n20,2
0,19,short,trial_n1,3
1,19,long,trial_n2,7
2,19,short,trial_n3,4
3,19,long,trial_n4,7
4,19,short,trial_n5,3
5,19,long,trial_n6,4
6,19,short,trial_n7,4
7,19,long,trial_n8,2
8,19,short,trial_n9,4
9,19,long,trial_n10,4
10,19,short,trial_n11,3
11,19,long,trial_n12,3
12,19,short,trial_n13,8
13,19,long,trial_n14,2
14,19,short,trial_n15,7
15,19,long,trial_n16,4
16,19,short,trial_n17,5
17,19,long,trial_n18,3
18,19,short,trial_n19,6
19,19,long,trial_n20,2
0,20,short,trial_n1,5
1,20,long,trial_n2,3
2,20,short,trial_n3,4
3,20,long,trial_n4,7
4,20,short,trial_n5,4
5,20,long,trial_n6,3
6,20,short,trial_n7,4
7,20,long,trial_n8,2
8,20,short,trial_n9,4
9,20,long,trial_n10,4
10,20,short,trial_n11,6
11,20,long,trial_n12,6
12,20,short,trial_n13,3
13,20,long,trial_n14,4
14,20,short,trial_n15,2
15,20,long,trial_n16,1
16,20,short,trial_n17,2
17,20,long,trial_n18,4
18,20,short,trial_n19,5
19,20,long,trial_n20,5
0,21,short,trial_n1,5
1,21,long,trial_n2,5
2,21,short,trial_n3,3
3,21,long,trial_n4,3
4,21,short,trial_n5,3
5,21,long,trial_n6,5
6,21,short,trial_n7,5
7,21,long,trial_n8,2
8,21,short,trial_n9,4
9,21,long,trial_n10,2
10,21,short,trial_n11,4
11,21,long,trial_n12,2
12,21,short,trial_n13,2
13,21,long,trial_n14,2
14,21,short,trial_n15,1
15,21,long,trial_n16,3
16,21,short,trial_n17,6
17,21,long,trial_n18,5
18,21,short,trial_n19,4
19,21,long,trial_n20,3
0,22,short,trial_n1,2
1,22,long,trial_n2,4
2,22,short,trial_n3,3
3,22,long,trial_n4,5
4,22,short,trial_n5,2
5,22,long,trial_n6,6
6,22,short,trial_n7,7
7,22,long,trial_n8,4
8,22,short,trial_n9,2
9,22,long,trial_n10,7
10,22,short,trial_n11,4
11,22,long,trial_n12,4
12,22,short,trial_n13,6
13,22,long,trial_n14,2
14,22,short,trial_n15,4
15,22,long,trial_n16,4
16,22,short,trial_n17,5
17,22,long,trial_n18,5
18,22,short,trial_n19,6
19,22,long,trial_n20,3
0,23,short,trial_n1,5
1,23,long,trial_n2,4
2,23,short,trial_n3,4
3,23,long,trial_n4,4
4,23,short,trial_n5,4
5,23,long,trial_n6,3
6,23,short,trial_n7,1
7,23,long,trial_n8,4
8,23,short,trial_n9,5
9,23,long,trial_n10,5
10,23,short,trial_n11,4
11,23,long,trial_n12,2
12,23,short,trial_n13,4
13,23,long,trial_n14,2
14,23,short,trial_n15,6
15,23,long,trial_n16,3
16,23,short,trial_n17,4
17,23,long,trial_n18,6
18,23,short,trial_n19,7
19,23,long,trial_n20,3
0,24,short,trial_n1,4
1,24,long,trial_n2,4
2,24,short,trial_n3,5
3,24,long,trial_n4,4
4,24,short,trial_n5,4
5,24,long,trial_n6,5
6,24,short,trial_n7,5
7,24,long,trial_n8,2
8,24,short,trial_n9,6
9,24,long,trial_n10,2
10,24,short,trial_n11,3
11,24,long,trial_n12,3
12,24,short,trial_n13,7
13,24,long,trial_n14,9
14,24,short,trial_n15,4
15,24,long,trial_n16,4
16,24,short,trial_n17,6
17,24,long,trial_n18,5
18,24,short,trial_n19,4
19,24,long,trial_n20,6
0,25,short,trial_n1,2
1,25,long,trial_n2,8
2,25,short,trial_n3,7
3,25,long,trial_n4,3
4,25,short,trial_n5,5
5,25,long,trial_n6,7
6,25,short,trial_n7,4
7,25,long,trial_n8,6
8,25,short,trial_n9,6
9,25,long,trial_n10,6
10,25,short,trial_n11,4
11,25,long,trial_n12,4
12,25,short,trial_n13,3
13,25,long,trial_n14,5
14,25,short,trial_n15,3
15,25,long,trial_n16,5
16,25,short,trial_n17,4
17,25,long,trial_n18,5
18,25,short,trial_n19,8
19,25,long,trial_n20,3
